Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Etmopterus pusillus	pusillus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus pusillus
Fenestraja cubensis	cubensis	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Fenestraja	Fenestraja cubensis
Scymnodon obscurus	obscurus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Scymnodon	Scymnodon obscurus
Squatina								
Carcharodon carcharias	carcharias	Animalia	Chordata	Elasmobranchii	Lamniformes	Lamnidae	Carcharodon	Carcharodon carcharias
Carcharhinus leucas	leucas	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus leucas
Dasyatis								
Galeocerdo cuvieri	cuvieri	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Galeocerdo	Galeocerdo cuvier
Myliobatis								
Odontaspis taurus	taurus	Animalia	Chordata	Elasmobranchii	Lamniformes	Odontaspididae	Carcharias	Carcharias taurus
Pristis								
Aetobatus narinari	narinari	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Aetobatus	Aetobatus narinari
Gymnura micrura	micrura	Animalia	Chordata	Elasmobranchii	Rajiformes	Gymnuridae	Gymnura	Gymnura micrura
Cetorhinus maximus	maximus	Animalia	Chordata	Elasmobranchii	Lamniformes	Cetorhinidae	Cetorhinus	Cetorhinus maximus
Sphyrna mokarran	mokarran	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Sphyrnidae	Sphyrna	Sphyrna mokarran
Narcine bancroftii	bancroftii	Animalia	Chordata	Elasmobranchii	Torpediniformes	Narcinidae	Narcine	Narcine bancroftii
Mustelus sinusmexicanus	sinusmexicanus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Triakidae	Mustelus	Mustelus sinusmexicanus
Dasyatis centroura	centroura	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis	Dasyatis centroura
Mustelus norrisi	norrisi	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Triakidae	Mustelus	Mustelus norrisi
Centrophorus tesselatus	tesselatus	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Centrophorus tessellatus
Centrophorus granulosus	granulosus	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Centrophorus granulosus
Echinorhinus brucus	brucus	Animalia	Chordata	Elasmobranchii	Squaliformes	Echinorhinidae	Echinorhinus	Echinorhinus brucus
Manta birostris	birostris	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Manta	Manta birostris
Sphyrna zygaena	zygaena	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Sphyrnidae	Sphyrna	Sphyrna zygaena
Springeria folirostris	folirostris	Animalia	Chordata	Elasmobranchii	Rajiformes	Anacanthobatidae	Anacanthobatis	Anacanthobatis folirostris
Carcharhinus brevipinna	brevipinna	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus brevipinna
Isistius plutodus	plutodus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Isistius	Isistius plutodus
Mitsukurina owstoni	owstoni	Animalia	Chordata	Elasmobranchii	Lamniformes	Mitsukurinidae	Mitsukurina	Mitsukurina owstoni
Raja garricki	garricki	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus garricki
Deania profundorum	profundorum	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Deania	Deania profundorum
Squalus uyato	uyato	Animalia	Chordata	Elasmobranchii	Squaliformes	Centrophoridae	Centrophorus	Centrophorus uyato
Squalus blainvillei	blainvillei	Animalia	Chordata	Elasmobranchii	Squaliformes	Squalidae	Squalus	Squalus blainville
Carcharhinidae								
Squaliolus laticaudus	laticaudus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Squaliolus	Squaliolus laticaudus
Raja oregoni	oregoni	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Dipturus	Dipturus oregoni
Fenestraja								
Apristurus								
Apristurus profundorum	profundorum	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus profundorum
Breviraja								
Cruriraja cadenati	cadenati	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Cruriraja	Cruriraja cadenati
Squalidae								
Raja bigelowi	bigelowi	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella bigelowi
Rajella bigelowi	bigelowi	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella bigelowi
Raja lentiginosus	lentiginosus	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Raja	Raja lentiginosus
Carcharhinus isodon	isodon	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus isodon
Carcharhinus porosus	porosus	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	Carcharhinus porosus
Rhinoptera quadriloba	quadriloba	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Rhinoptera	Rhinoptera quadriloba
Mobula hypostoma	hypostoma	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Mobula	Mobula hypostoma
Pristis pectinatus	pectinatus	Animalia	Chordata	Elasmobranchii	Pristiformes	Pristidae	Pristis	Pristis pectinata
Dasyatis sayi	sayi	Animalia	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis	Dasyatis say
Etmopterus bigelowi	bigelowi	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus bigelowi
Etmopterus hillianus	hillianus	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus hillianus
Mobula								
Mustelus canis canis	canis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Triakidae	Mustelus	
Myliobatis freminvillii	freminvillii	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Myliobatis	Myliobatis freminvillii
Etmopterus gracilispinis	gracilispinis	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Etmopterus	Etmopterus gracilispinis
Scymnodon gilberti	gilberti	Animalia	Chordata	Elasmobranchii	Squaliformes	Dalatiidae	Scymnodon	Scymnodon gilberti
Scymnodon								
Sphyrna tudes	tudes	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Sphyrnidae	Sphyrna	Sphyrna tudes
Myliobatis freminvillei	freminvillei	Animalia	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Myliobatis	Myliobatis freminvillii
Rajidae		Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajidae	
Torpedo nobilianus	nobilianus	Animalia	Chordata	Elasmobranchii	Torpediniformes	Torpedinidae	Torpedo	Torpedo nobiliana
Mustelus higmani	higmani	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Triakidae	Mustelus	Mustelus higmani
Centrophorus								
