Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Parmaturus campechiensis	campechiensis	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Parmaturus	Parmaturus campechiensis
Physiculus fulvus	fulvus	Animalia	Chordata	Actinopterygii	Gadiformes	Moridae	Physiculus	Physiculus fulvus
Trachurus lathami	lathami	Animalia	Chordata	Actinopterygii	Perciformes	Carangidae	Trachurus	Trachurus lathami
Rajella fuliginea	fuliginea	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Rajella	Rajella fuliginea
Serranus atrobranchus	atrobranchus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Serranus	Serranus atrobranchus
Chauliodus sloani	sloani	Animalia	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Chauliodus	Chauliodus sloani
Trichopsetta ventralis	ventralis	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Trichopsetta	Trichopsetta ventralis
Notacanthus chemnitzii	chemnitzii	Animalia	Chordata	Actinopterygii	Notacanthiformes	Notacanthidae	Notacanthus	Notacanthus chemnitzii
Apristurus laurussonii	laurussonii	Animalia	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Apristurus	Apristurus laurussonii
Stephanoberyx monae	monae	Animalia	Chordata	Actinopterygii	Stephanoberyciformes	Stephanoberycidae	Stephanoberyx	Stephanoberyx monae
Sosane sulcata	sulcata	Animalia	Annelida	Polychaeta	Canalipalpata	Ampharetidae	Sosane	Sosane sulcata
Holothuria grisea	grisea	Animalia	Echinodermata	Holothuroidea	Aspidochirotida	Holothuriidae	Holothuria	Holothuria grisea
Psilaster cassiope	cassiope	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Psilaster	Psilaster cassiope
Astropecten cingulatus	cingulatus	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Astropecten	Astropecten cingulatus
Persephonaster echinulatus	echinulatus	Animalia	Echinodermata	Asteroidea	Paxillosida	Astropectinidae	Persephonaster	Persephonaster echinulatus
Goniopecten demonstrans	demonstrans	Animalia	Echinodermata	Asteroidea	Paxillosida	Goniopectinidae	Goniopecten	Goniopecten demonstrans
Nymphaster arenatus	arenatus	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Nymphaster	Nymphaster arenatus
Plinthaster dentatus	dentatus	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Plinthaster	Plinthaster dentatus
